"word"	"complex_word"	"folio"	"section"	"quire"	"panel"	"language"	"hand"	"misc"	"d.hand"	"placement"	"line_number"	"transcriber"	"line_initial"	"line_final"	"par_initial"	"par_final"
"shtaiin"	"shtaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	7	6	NA	NA
"shar"	"shar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	8	5	NA	NA
"ar*"	"ar*"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	9	4	NA	NA
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	10	3	NA	NA
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	11	2	NA	NA
"dan"	"dan"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	12	1	NA	NA
"sory"	"sory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	1	10	NA	NA
"ckhar"	"ckhar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	2	9	NA	NA
"ory"	"ory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	3	8	NA	NA
"kair"	"kair"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	4	7	NA	NA
"chtaiin"	"chtaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	5	6	NA	NA
"shor"	"shor"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	6	5	NA	NA
"ar"	"ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	7	4	NA	NA
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	8	3	NA	NA
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	9	2	NA	NA
"dana"	"dana"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"F"	10	1	NA	NA
"sory"	"sory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	1	11	NA	NA
"ckhar"	"ckhar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	2	10	NA	NA
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	3	9	NA	NA
"y"	"y"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	4	8	NA	NA
"kair"	"kair"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	5	7	NA	NA
"chtaiin"	"chtaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	6	6	NA	NA
"shar"	"shar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	7	5	NA	NA
"are"	"are"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	8	4	NA	NA
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	9	3	NA	NA
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	10	2	NA	NA
"dan"	"dan"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"N"	11	1	NA	NA
"sory"	"sory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	1	10	NA	NA
"ckhar"	"ckhar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	2	9	NA	NA
"ory"	"ory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	3	8	NA	NA
"kair"	"kair"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	4	7	NA	NA
"chtaiin"	"chtaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	5	6	NA	NA
"shor"	"shor"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	6	5	NA	NA
"ary"	"ary"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	7	4	NA	NA
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	8	3	NA	NA
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	9	2	NA	NA
"dan*"	"dan*"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"U"	10	1	NA	NA
"syaiir"	"syaiir"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	1	9	22	24
"sheky"	"sheky"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	2	8	23	23
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	3	7	24	22
"ykaiin"	"ykaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	4	6	25	21
"shod"	"shod"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	5	5	26	20
"cthoary"	"cthoary"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	6	4	27	19
"cthes"	"cthes"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	7	3	28	18
"daraiin"	"daraiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	8	2	29	17
"sa"	"sa"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"H"	9	1	30	16
"syaiir"	"syaiir"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	1	9	NA	NA
"sheky"	"sheky"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	2	8	NA	NA
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	3	7	NA	NA
"ykaiin"	"ykaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	4	6	NA	NA
"shod"	"shod"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	5	5	NA	NA
"cthoary"	"cthoary"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	6	4	NA	NA
"cth*r"	"cth*r"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	7	3	NA	NA
"daraiin"	"daraiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	8	2	NA	NA
"sy"	"sy"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"C"	9	1	NA	NA
"syaiir"	"syaiir"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	1	9	NA	NA
"sheky"	"sheky"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	2	8	NA	NA
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	3	7	NA	NA
"ykaiin"	"ykaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	4	6	NA	NA
"shod"	"shod"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	5	5	NA	NA
"cthoary"	"cthoary"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	6	4	NA	NA
"cthes"	"cthes"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	7	3	NA	NA
"daraiin"	"daraiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	8	2	NA	NA
"sy"	"sy"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"F"	9	1	NA	NA
"syaiir"	"syaiir"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	1	9	NA	NA
"sheky"	"sheky"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	2	8	NA	NA
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	3	7	NA	NA
"ykaiin"	"ykaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	4	6	NA	NA
"shod"	"shod"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	5	5	NA	NA
"cthoary"	"cthoary"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	6	4	NA	NA
"cthes"	"cthes"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	7	3	NA	NA
"daraiin"	"daraiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	8	2	NA	NA
"sa"	"sa"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"N"	9	1	NA	NA
"syaiir"	"syaiir"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	1	9	NA	NA
"shcky"	"shcky"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	2	8	NA	NA
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	3	7	NA	NA
"ykaiin"	"ykaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	4	6	NA	NA
"shod"	"shod"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	5	5	NA	NA
"cthoary"	"cthoary"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	6	4	NA	NA
"cthes"	"cthes"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	7	3	NA	NA
"daraiin"	"daraiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	8	2	NA	NA
"sy"	"sy"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"3"	"U"	9	1	NA	NA
"ooiin"	"o'oiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	1	9	31	15
"oteey"	"oteey"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	2	8	32	14
"oteos"	"oteos"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	3	7	33	13
"roloty"	"roloty"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	4	6	34	12
"cth*ar"	"cth*ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	5	5	35	11
"daiin"	"daiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	6	4	36	10
"otaiin"	"otaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	7	3	37	9
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	8	2	38	8
"okan"	"okan"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"H"	9	1	39	7
"odsoiin"	"odsoiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	1	9	NA	NA
"oteey"	"oteey"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	2	8	NA	NA
"oteor"	"oteor"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	3	7	NA	NA
"soloty"	"soloty"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	4	6	NA	NA
"cth*ar"	"cth*ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	5	5	NA	NA
"daiin"	"daiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	6	4	NA	NA
"okaiin"	"okaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	7	3	NA	NA
"ol"	"ol"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	8	2	NA	NA
"okan"	"okan"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"C"	9	1	NA	NA
"*oiin"	"*oiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	1	9	NA	NA
"oteey"	"oteey"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	2	8	NA	NA
"oteor"	"oteor"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	3	7	NA	NA
"soloty"	"soloty"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	4	6	NA	NA
"cth*ar"	"cth*ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	5	5	NA	NA
"daiin"	"daiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	6	4	NA	NA
"okaiin"	"okaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	7	3	NA	NA
"ol"	"ol"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	8	2	NA	NA
"okan"	"okan"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"D"	9	1	NA	NA
"*oiin"	"*oiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	1	9	NA	NA
"oteey"	"oteey"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	2	8	NA	NA
"otear"	"otear"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	3	7	NA	NA
"roloty"	"roloty"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	4	6	NA	NA
"cthaar"	"cthaar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	5	5	NA	NA
"daiin"	"daiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	6	4	NA	NA
"okaiin"	"okaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	7	3	NA	NA
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	8	2	NA	NA
"okan"	"okan"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"F"	9	1	NA	NA
"ooiin"	"o'oiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	1	9	NA	NA
"oteey"	"oteey"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	2	8	NA	NA
"oteos"	"oteos"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	3	7	NA	NA
"roloty"	"roloty"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	4	6	NA	NA
"cth*ar"	"cth*ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	5	5	NA	NA
"daiin"	"daiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	6	4	NA	NA
"otaiin"	"otaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	7	3	NA	NA
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	8	2	NA	NA
"okan"	"okan"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"N"	9	1	NA	NA
"ooiin"	"o'oiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	1	9	NA	NA
"oteey"	"oteey"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	2	8	NA	NA
"otear"	"otear"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	3	7	NA	NA
"roloty"	"roloty"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	4	6	NA	NA
"cthaar"	"cthaar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	5	5	NA	NA
"daiin"	"daiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	6	4	NA	NA
"okaiin"	"okaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	7	3	NA	NA
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	8	2	NA	NA
"okan"	"okan"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"4"	"U"	9	1	NA	NA
"dair"	"dair"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"5"	"H"	1	6	40	6
"y"	"y"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"5"	"H"	2	5	41	5
"chear"	"chear"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"5"	"H"	3	4	42	4
