AUTOGLOSS REVIEW FILE
========================================================================
Review these auto-generated glosses. Mark any that seem wrong.
Glosses are composed from atom root concepts joined by '-'.

Middle          Count  Confidence  Autogloss                            Existing                 
eet                22  SOLID       cool-cool-transfer                   ---                      
och                20  WEAK        work-adjust-watch                    ---                      
lke                20  WEAK        frame-heat-cool                      ---                      
ir                 19  WEAK        iterate-input                        ---                      
teo                18  WEAK        transfer-cool-work                   ---                      
an                 18  LOCKED      yield-halt                           bind                     
ofch               17  WEAK        work-flag-adjust-watch               ---                      
ted                17  SOLID       transfer-cool-mark                   ---                      
ko                 16  WEAK        heat-work                            ---                      
ep                 16  PLAUSIBLE   cool-pause                           ---                      
ockh               16  WEAK        work-adjust-heat-watch               ---                      
tc                 16  PLAUSIBLE   transfer-adjust                      ---                      
os                 16  WEAK        work-sequence                        ---                      
eeod               16  WEAK        cool-cool-work-mark                  ---                      
ec                 16  PLAUSIBLE   cool-adjust                          ---                      
es                 15  PLAUSIBLE   cool-sequence                        ---                      
octh               15  WEAK        work-adjust-transfer-watch           ---                      
of                 15  WEAK        work-flag                            ---                      
oct                14  WEAK        work-adjust-transfer                 ---                      
eee                14  LOCKED      cool-cool-cool                       ---                      
da                 13  SOLID       mark-yield                           start                    
ld                 13  WEAK        frame-mark                           ---                      
osh                13  WEAK        work-sequence-watch                  ---                      
ock                13  WEAK        work-adjust-heat                     ---                      
ro                 13  WEAK        input-work                           ---                      
oi                 13  WEAK        work-iterate                         ---                      
eot                13  WEAK        cool-work-transfer                   ---                      
ecth               12  PLAUSIBLE   cool-adjust-transfer-watch           ---                      
rai                12  WEAK        input-yield-iterate                  ---                      
yt                 12  SOLID       end-transfer                         ---                      
ak                 12  LOCKED      yield-heat                           ---                      
cs                 12  PLAUSIBLE   adjust-sequence                      ---                      
kec                12  PLAUSIBLE   heat-cool-adjust                     ---                      
edai               11  SOLID       cool-mark-yield-iterate              ---                      
yk                 11  LOCKED      end-heat                             ---                      
to                 11  WEAK        transfer-work                        ---                      
oe                 11  WEAK        work-cool                            ---                      
eeeo               10  WEAK        cool-cool-cool-work                  ---                      
kal                10  WEAK        heat-yield-frame                     ---                      
cp                 10  PLAUSIBLE   adjust-pause                         ---                      
do                 10  WEAK        mark-work                            ---                      
oee                10  WEAK        work-cool-cool                       ---                      
pc                 10  PLAUSIBLE   pause-adjust                         ---                      
alk                10  WEAK        yield-frame-heat                     ---                      
teed                9  SOLID       transfer-cool-cool-mark              ---                      
cfh                 9  PLAUSIBLE   adjust-flag-watch                    ---                      
eolk                9  WEAK        cool-work-frame-heat                 ---                      
opc                 9  WEAK        work-pause-adjust                    ---                      
ta                  9  SOLID       transfer-yield                       ---                      
ees                 9  PLAUSIBLE   cool-cool-sequence                   ---                      
eda                 9  SOLID       cool-mark-yield                      ---                      
tsh                 9  PLAUSIBLE   transfer-sequence-watch              ---                      
odai                8  WEAK        work-mark-yield-iterate              ---                      
epch                8  PLAUSIBLE   cool-pause-adjust-watch              ---                      
hy                  8  LOCKED      watch-end                            confirm                  
olch                8  WEAK        work-frame-adjust-watch              ---                      
dal                 8  WEAK        mark-yield-frame                     ---                      
im                  8  LOCKED      iterate-final                        ---                      
ea                  8  LOCKED      cool-yield                           ---                      
keec                8  PLAUSIBLE   heat-cool-cool-adjust                ---                      
kech                8  PLAUSIBLE   heat-cool-adjust-watch               ---                      
olke                8  WEAK        work-frame-heat-cool                 ---                      
eyk                 8  LOCKED      cool-end-heat                        ---                      
tai                 8  SOLID       transfer-yield-iterate               ---                      
teeo                8  WEAK        transfer-cool-cool-work              ---                      
eke                 7  LOCKED      cool-heat-cool                       ---                      
lod                 7  WEAK        frame-work-mark                      ---                      
ad                  7  SOLID       yield-mark                           ---                      
rod                 7  WEAK        input-work-mark                      ---                      
dyt                 7  SOLID       mark-end-transfer                    ---                      
eock                7  WEAK        cool-work-adjust-heat                ---                      
otch                7  WEAK        work-transfer-adjust-watch           ---                      
ks                  7  PLAUSIBLE   heat-sequence                        ---                      
ls                  7  WEAK        frame-sequence                       ---                      
rch                 7  WEAK        input-adjust-watch                   ---                      
tee                 7  SOLID       transfer-cool-cool                   ---                      
lt                  7  WEAK        frame-transfer                       ---                      
tchd                7  PLAUSIBLE   transfer-adjust-watch-mark           ---                      
airo                7  WEAK        yield-iterate-input-work             ---                      
tched               7  PLAUSIBLE   transfer-adjust-watch-cool-mark      ---                      
opched              7  WEAK        work-pause-adjust-watch-cool-mark    ---                      
eec                 6  PLAUSIBLE   cool-cool-adjust                     ---                      
efch                6  PLAUSIBLE   cool-flag-adjust-watch               ---                      
eef                 6  PLAUSIBLE   cool-cool-flag                       ---                      
oek                 6  WEAK        work-cool-heat                       ---                      
ef                  6  PLAUSIBLE   cool-flag                            ---                      
opche               6  WEAK        work-pause-adjust-watch-cool         ---                      
kchd                6  PLAUSIBLE   heat-adjust-watch-mark               ---                      
oin                 6  WEAK        work-iterate-halt                    ---                      
lai                 6  WEAK        frame-yield-iterate                  ---                      
lc                  6  WEAK        frame-adjust                         ---                      
opa                 6  WEAK        work-pause-yield                     ---                      
keeod               6  WEAK        heat-cool-cool-work-mark             ---                      
opai                6  WEAK        work-pause-yield-iterate             ---                      
air                 6  WEAK        yield-iterate-input                  ---                      
edo                 5  WEAK        cool-mark-work                       ---                      
sh                  5  PLAUSIBLE   sequence-watch                       verify                   
lchd                5  WEAK        frame-adjust-watch-mark              ---                      
tche                5  PLAUSIBLE   transfer-adjust-watch-cool           ---                      
ekc                 5  PLAUSIBLE   cool-heat-adjust                     ---                      
yp                  5  PLAUSIBLE   end-pause                            ---                      
ocph                5  WEAK        work-adjust-pause-watch              ---                      
ode                 5  WEAK        work-mark-cool                       ---                      
alsh                5  WEAK        yield-frame-sequence-watch           ---                      
eoct                5  WEAK        cool-work-adjust-transfer            ---                      
iro                 5  WEAK        iterate-input-work                   ---                      
de                  5  SOLID       mark-cool                            ---                      
opsh                5  WEAK        work-pause-sequence-watch            ---                      
lche                5  WEAK        frame-adjust-watch-cool              ---                      
psh                 5  PLAUSIBLE   pause-sequence-watch                 ---                      
kesh                5  PLAUSIBLE   heat-cool-sequence-watch             ---                      
rc                  5  WEAK        input-adjust                         ---                      
edk                 5  SOLID       cool-mark-heat                       ---                      
pche                5  PLAUSIBLE   pause-adjust-watch-cool              ---                      
ede                 5  SOLID       cool-mark-cool                       ---                      
okch                5  WEAK        work-heat-adjust-watch               ---                      
oke                 5  WEAK        work-heat-cool                       ---                      
ckhd                4  PLAUSIBLE   adjust-heat-watch-mark               ---                      
ait                 4  SOLID       yield-iterate-transfer               ---                      
ky                  4  LOCKED      heat-end                             ---                      
ty                  4  SOLID       transfer-end                         ---                      
eor                 4  WEAK        cool-work-input                      ---                      
opal                4  WEAK        work-pause-yield-frame               ---                      
lkc                 4  WEAK        frame-heat-adjust                    ---                      
ald                 4  WEAK        yield-frame-mark                     ---                      
tcho                4  WEAK        transfer-adjust-watch-work           ---                      
ctho                4  WEAK        adjust-transfer-watch-work           ---                      
old                 4  WEAK        work-frame-mark                      ---                      
er                  4  WEAK        cool-input                           ---                      
edal                4  WEAK        cool-mark-yield-frame                ---                      
oda                 4  WEAK        work-mark-yield                      ---                      
kaii                4  LOCKED      heat-yield-iterate-iterate           ---                      
epc                 4  PLAUSIBLE   cool-pause-adjust                    ---                      
lp                  4  WEAK        frame-pause                          ---                      
eeed                4  SOLID       cool-cool-cool-mark                  ---                      
yl                  4  WEAK        end-frame                            ---                      
ch                  4  PLAUSIBLE   adjust-watch                         check                    
eal                 4  WEAK        cool-yield-frame                     ---                      
oii                 4  WEAK        work-iterate-iterate                 ---                      
oik                 4  WEAK        work-iterate-heat                    ---                      
lched               4  WEAK        frame-adjust-watch-cool-mark         ---                      
opalk               4  WEAK        work-pause-yield-frame-heat          ---                      
lr                  4  WEAK        frame-input                          ---                      
at                  4  SOLID       yield-transfer                       ---                      
pcheo               4  WEAK        pause-adjust-watch-cool-work         ---                      
ll                  4  WEAK        frame-frame                          ---                      
pair                4  WEAK        pause-yield-iterate-input            ---                      
kod                 4  WEAK        heat-work-mark                       ---                      
okc                 4  WEAK        work-heat-adjust                     ---                      
so                  3  WEAK        sequence-work                        ---                      
ckheo               3  WEAK        adjust-heat-watch-cool-work          ---                      
cpho                3  WEAK        adjust-pause-watch-work              ---                      
pai                 3  PLAUSIBLE   pause-yield-iterate                  ---                      
aik                 3  LOCKED      yield-iterate-heat                   ---                      
efc                 3  PLAUSIBLE   cool-flag-adjust                     ---                      
eka                 3  LOCKED      cool-heat-yield                      ---                      
eksh                3  PLAUSIBLE   cool-heat-sequence-watch             ---                      
kalch               3  WEAK        heat-yield-frame-adjust-watch        ---                      
eees                3  PLAUSIBLE   cool-cool-cool-sequence              ---                      
olo                 3  WEAK        work-frame-work                      ---                      
alo                 3  WEAK        yield-frame-work                     ---                      
ekch                3  PLAUSIBLE   cool-heat-adjust-watch               ---                      
olt                 3  WEAK        work-frame-transfer                  ---                      
eocp                3  WEAK        cool-work-adjust-pause               ---                      
rd                  3  WEAK        input-mark                           ---                      
el                  3  WEAK        cool-frame                           ---                      
is                  3  PLAUSIBLE   iterate-sequence                     ---                      
eop                 3  WEAK        cool-work-pause                      ---                      
ocfh                3  WEAK        work-adjust-flag-watch               ---                      
kcho                3  WEAK        heat-adjust-watch-work               ---                      
kshd                3  PLAUSIBLE   heat-sequence-watch-mark             ---                      
ekai                3  LOCKED      cool-heat-yield-iterate              ---                      
sd                  3  PLAUSIBLE   sequence-mark                        ---                      
alch                3  WEAK        yield-frame-adjust-watch             ---                      
ra                  3  WEAK        input-yield                          ---                      
oche                3  WEAK        work-adjust-watch-cool               ---                      
odch                3  WEAK        work-mark-adjust-watch               ---                      
esh                 3  PLAUSIBLE   cool-sequence-watch                  ---                      
kar                 3  WEAK        heat-yield-input                     ---                      
eolch               3  WEAK        cool-work-frame-adjust-watch         ---                      
fchd                3  PLAUSIBLE   flag-adjust-watch-mark               ---                      
ecp                 3  PLAUSIBLE   cool-adjust-pause                    ---                      
eoke                3  WEAK        cool-work-heat-cool                  ---                      
lte                 3  WEAK        frame-transfer-cool                  ---                      
lshe                3  WEAK        frame-sequence-watch-cool            ---                      
iir                 3  WEAK        iterate-iterate-input                ---                      
loh                 3  WEAK        frame-work-watch                     ---                      
cse                 3  PLAUSIBLE   adjust-sequence-cool                 ---                      
oched               3  WEAK        work-adjust-watch-cool-mark          ---                      
ara                 3  WEAK        yield-input-yield                    ---                      
lksh                3  WEAK        frame-heat-sequence-watch            ---                      
als                 3  WEAK        yield-frame-sequence                 ---                      
ecph                3  PLAUSIBLE   cool-adjust-pause-watch              ---                      
sa                  3  PLAUSIBLE   sequence-yield                       ---                      
eekc                3  PLAUSIBLE   cool-cool-heat-adjust                ---                      
tal                 3  WEAK        transfer-yield-frame                 ---                      
eeck                3  PLAUSIBLE   cool-cool-adjust-heat                ---                      
opo                 3  WEAK        work-pause-work                      ---                      
eolke               3  WEAK        cool-work-frame-heat-cool            ---                      
eocth               3  WEAK        cool-work-adjust-transfer-watch      ---                      
ox                  3  WEAK        work-diagram                         ---                      
opd                 3  WEAK        work-pause-mark                      ---                      
eockh               3  WEAK        cool-work-adjust-heat-watch          ---                      
cf                  3  PLAUSIBLE   adjust-flag                          ---                      
eyt                 3  SOLID       cool-end-transfer                    ---                      
taii                3  SOLID       transfer-yield-iterate-iterate       ---                      
pched               3  PLAUSIBLE   pause-adjust-watch-cool-mark         ---                      
aro                 3  WEAK        yield-input-work                     ---                      
eolsh               3  WEAK        cool-work-frame-sequence-watch       ---                      
it                  3  SOLID       iterate-transfer                     ---                      
keech               3  PLAUSIBLE   heat-cool-cool-adjust-watch          ---                      
eesh                3  PLAUSIBLE   cool-cool-sequence-watch             ---                      
llo                 3  WEAK        frame-frame-work                     ---                      
oai                 3  WEAK        work-yield-iterate                   ---                      
eoc                 3  WEAK        cool-work-adjust                     ---                      
tcheo               3  WEAK        transfer-adjust-watch-cool-work      ---                      
eeda                3  SOLID       cool-cool-mark-yield                 ---                      
ail                 3  WEAK        yield-iterate-frame                  ---                      
oaii                3  WEAK        work-yield-iterate-iterate           ---                      
keod                3  WEAK        heat-cool-work-mark                  ---                      
dl                  3  WEAK        mark-frame                           ---                      
esho                3  WEAK        cool-sequence-watch-work             ---                      
opchd               3  WEAK        work-pause-adjust-watch-mark         ---                      
ypch                2  PLAUSIBLE   end-pause-adjust-watch               ---                      
sed                 2  PLAUSIBLE   sequence-cool-mark                   ---                      
ese                 2  PLAUSIBLE   cool-sequence-cool                   ---                      
raii                2  WEAK        input-yield-iterate-iterate          ---                      
ofc                 2  WEAK        work-flag-adjust                     ---                      
edsh                2  PLAUSIBLE   cool-mark-sequence-watch             ---                      
tolcheo             2  WEAK        transfer-work-frame-adjust-watch-cool-work  ---                      
eoek                2  WEAK        cool-work-cool-heat                  ---                      
etch                2  PLAUSIBLE   cool-transfer-adjust-watch           ---                      
oeeeo               2  WEAK        work-cool-cool-cool-work             ---                      
echd                2  PLAUSIBLE   cool-adjust-watch-mark               ---                      
otc                 2  WEAK        work-transfer-adjust                 ---                      
dych                2  PLAUSIBLE   mark-end-adjust-watch                ---                      
eep                 2  PLAUSIBLE   cool-cool-pause                      ---                      
opchek              2  WEAK        work-pause-adjust-watch-cool-heat    ---                      
dyk                 2  SOLID       mark-end-heat                        ---                      
eko                 2  WEAK        cool-heat-work                       ---                      
eked                2  SOLID       cool-heat-cool-mark                  ---                      
dch                 2  PLAUSIBLE   mark-adjust-watch                    ---                      
eeek                2  LOCKED      cool-cool-cool-heat                  ---                      
ckhh                2  PLAUSIBLE   adjust-heat-watch-watch              ---                      
edyo                2  WEAK        cool-mark-end-work                   ---                      
lkch                2  WEAK        frame-heat-adjust-watch              ---                      
ytsh                2  PLAUSIBLE   end-transfer-sequence-watch          ---                      
tsheod              2  WEAK        transfer-sequence-watch-cool-work-mark  ---                      
eedo                2  WEAK        cool-cool-mark-work                  ---                      
olks                2  WEAK        work-frame-heat-sequence             ---                      
oo                  2  WEAK        work-work                            ---                      
eodc                2  WEAK        cool-work-mark-adjust                ---                      
ypai                2  PLAUSIBLE   end-pause-yield-iterate              ---                      
edyt                2  SOLID       cool-mark-end-transfer               ---                      
ip                  2  PLAUSIBLE   iterate-pause                        ---                      
cpheo               2  WEAK        adjust-pause-watch-cool-work         ---                      
eedch               2  PLAUSIBLE   cool-cool-mark-adjust-watch          ---                      
oed                 2  WEAK        work-cool-mark                       ---                      
oeeed               2  WEAK        work-cool-cool-cool-mark             ---                      
octho               2  WEAK        work-adjust-transfer-watch-work      ---                      
ap                  2  PLAUSIBLE   yield-pause                          ---                      
yd                  2  SOLID       end-mark                             ---                      
ofar                2  WEAK        work-flag-yield-input                ---                      
kol                 2  WEAK        heat-work-frame                      ---                      
pad                 2  PLAUSIBLE   pause-yield-mark                     ---                      
edyk                2  SOLID       cool-mark-end-heat                   ---                      
ith                 2  SOLID       iterate-transfer-watch               ---                      
lar                 2  WEAK        frame-yield-input                    ---                      
rol                 2  WEAK        input-work-frame                     ---                      
cphd                2  PLAUSIBLE   adjust-pause-watch-mark              ---                      
lshd                2  WEAK        frame-sequence-watch-mark            ---                      
opshed              2  WEAK        work-pause-sequence-watch-cool-mark  ---                      
edch                2  PLAUSIBLE   cool-mark-adjust-watch               ---                      
sai                 2  PLAUSIBLE   sequence-yield-iterate               ---                      
lf                  2  WEAK        frame-flag                           ---                      
opchol              2  WEAK        work-pause-adjust-watch-work-frame   ---                      
tees                2  PLAUSIBLE   transfer-cool-cool-sequence          ---                      
ts                  2  PLAUSIBLE   transfer-sequence                    ---                      
tol                 2  WEAK        transfer-work-frame                  ---                      
la                  2  WEAK        frame-yield                          ---                      
rsh                 2  WEAK        input-sequence-watch                 ---                      
eolt                2  WEAK        cool-work-frame-transfer             ---                      
kolk                2  WEAK        heat-work-frame-heat                 ---                      
lfch                2  WEAK        frame-flag-adjust-watch              ---                      
oit                 2  WEAK        work-iterate-transfer                ---                      
lpc                 2  WEAK        frame-pause-adjust                   ---                      
dksh                2  PLAUSIBLE   mark-heat-sequence-watch             ---                      
ofsh                2  WEAK        work-flag-sequence-watch             ---                      
kes                 2  PLAUSIBLE   heat-cool-sequence                   ---                      
cseek               2  PLAUSIBLE   adjust-sequence-cool-cool-heat       ---                      
dcs                 2  PLAUSIBLE   mark-adjust-sequence                 ---                      
rait                2  WEAK        input-yield-iterate-transfer         ---                      
dar                 2  WEAK        mark-yield-input                     ---                      
kalsh               2  WEAK        heat-yield-frame-sequence-watch      ---                      
edc                 2  PLAUSIBLE   cool-mark-adjust                     ---                      
lshed               2  WEAK        frame-sequence-watch-cool-mark       ---                      
ols                 2  WEAK        work-frame-sequence                  ---                      
ofo                 2  WEAK        work-flag-work                       ---                      
isol                2  WEAK        iterate-sequence-work-frame          ---                      
ysk                 2  PLAUSIBLE   end-sequence-heat                    ---                      
opchsd              2  WEAK        work-pause-adjust-watch-sequence-mark  ---                      
csed                2  PLAUSIBLE   adjust-sequence-cool-mark            ---                      
olai                2  WEAK        work-frame-yield-iterate             ---                      
eepch               2  PLAUSIBLE   cool-cool-pause-adjust-watch         ---                      
opcho               2  WEAK        work-pause-adjust-watch-work         ---                      
ocho                2  WEAK        work-adjust-watch-work               ---                      
pchd                2  PLAUSIBLE   pause-adjust-watch-mark              ---                      
ik                  2  LOCKED      iterate-heat                         ---                      
olfc                2  WEAK        work-frame-flag-adjust               ---                      
fod                 2  WEAK        flag-work-mark                       ---                      
eeodai              2  WEAK        cool-cool-work-mark-yield-iterate    ---                      
sk                  2  PLAUSIBLE   sequence-heat                        ---                      
odk                 2  WEAK        work-mark-heat                       ---                      
yoch                2  WEAK        end-work-adjust-watch                ---                      
eokai               2  WEAK        cool-work-heat-yield-iterate         ---                      
ocf                 2  WEAK        work-adjust-flag                     ---                      
orch                2  WEAK        work-input-adjust-watch              ---                      
aip                 2  PLAUSIBLE   yield-iterate-pause                  ---                      
ckho                2  WEAK        adjust-heat-watch-work               ---                      
ool                 2  WEAK        work-work-frame                      ---                      
kees                2  PLAUSIBLE   heat-cool-cool-sequence              ---                      
aikh                2  LOCKED      yield-iterate-heat-watch             ---                      
dpc                 2  PLAUSIBLE   mark-pause-adjust                    ---                      
odee                2  WEAK        work-mark-cool-cool                  ---                      
octheo              2  WEAK        work-adjust-transfer-watch-cool-work  ---                      
olf                 2  WEAK        work-frame-flag                      ---                      
airod               2  WEAK        yield-iterate-input-work-mark        ---                      
orsh                2  WEAK        work-input-sequence-watch            ---                      
ete                 2  SOLID       cool-transfer-cool                   ---                      
kche                2  PLAUSIBLE   heat-adjust-watch-cool               ---                      
tec                 2  PLAUSIBLE   transfer-cool-adjust                 ---                      
oeed                2  WEAK        work-cool-cool-mark                  ---                      
eech                2  PLAUSIBLE   cool-cool-adjust-watch               ---                      
aifh                2  PLAUSIBLE   yield-iterate-flag-watch             ---                      
aiir                2  WEAK        yield-iterate-iterate-input          ---                      
paii                2  PLAUSIBLE   pause-yield-iterate-iterate          ---                      
eodai               2  WEAK        cool-work-mark-yield-iterate         ---                      
opcheo              2  WEAK        work-pause-adjust-watch-cool-work    ---                      
aiik                2  LOCKED      yield-iterate-iterate-heat           ---                      
pd                  2  PLAUSIBLE   pause-mark                           ---                      
oeo                 2  WEAK        work-cool-work                       ---                      
oef                 2  WEAK        work-cool-flag                       ---                      
daro                2  WEAK        mark-yield-input-work                ---                      
keee                2  LOCKED      heat-cool-cool-cool                  ---                      
dsh                 2  PLAUSIBLE   mark-sequence-watch                  ---                      
opor                2  WEAK        work-pause-work-input                ---                      
aif                 2  PLAUSIBLE   yield-iterate-flag                   ---                      
dk                  2  SOLID       mark-heat                            ---                      
eotch               2  WEAK        cool-work-transfer-adjust-watch      ---                      
los                 2  WEAK        frame-work-sequence                  ---                      
kii                 2  LOCKED      heat-iterate-iterate                 ---                      
lx                  2  WEAK        frame-diagram                        ---                      
kl                  2  WEAK        heat-frame                           ---                      
oko                 2  WEAK        work-heat-work                       ---                      
eealk               2  WEAK        cool-cool-yield-frame-heat           ---                      
he                  2  LOCKED      watch-cool                           ---                      
eckhed              2  PLAUSIBLE   cool-adjust-heat-watch-cool-mark     ---                      
le                  2  WEAK        frame-cool                           ---                      
ckhe                2  PLAUSIBLE   adjust-heat-watch-cool               ---                      
ksheo               2  WEAK        heat-sequence-watch-cool-work        ---                      
yke                 2  LOCKED      end-heat-cool                        ---                      
oso                 2  WEAK        work-sequence-work                   ---                      
eche                2  PLAUSIBLE   cool-adjust-watch-cool               ---                      
eokeeo              2  WEAK        cool-work-heat-cool-cool-work        ---                      
eshd                2  PLAUSIBLE   cool-sequence-watch-mark             ---                      
ofched              2  WEAK        work-flag-adjust-watch-cool-mark     ---                      
oeeo                2  WEAK        work-cool-cool-work                  ---                      
odaii               1  WEAK        work-mark-yield-iterate-iterate      ---                      
ofseod              1  WEAK        work-flag-sequence-cool-work-mark    ---                      
ofochcph            1  WEAK        work-flag-work-adjust-watch-adjust-pause-watch  ---                      
adeeo               1  WEAK        yield-mark-cool-cool-work            ---                      
eteeda              1  SOLID       cool-transfer-cool-cool-mark-yield   ---                      
apchedyf            1  PLAUSIBLE   yield-pause-adjust-watch-cool-mark-end-flag  ---                      
ge                  1  PLAUSIBLE   complete-cool                        ---                      
yckheo              1  WEAK        end-adjust-heat-watch-cool-work      ---                      
eoet                1  WEAK        cool-work-cool-transfer              ---                      
odypsh              1  WEAK        work-mark-end-pause-sequence-watch   ---                      
keefc               1  PLAUSIBLE   heat-cool-cool-flag-adjust           ---                      
epakeo              1  WEAK        cool-pause-yield-heat-cool-work      ---                      
eoo                 1  WEAK        cool-work-work                       ---                      
okeo                1  WEAK        work-heat-cool-work                  ---                      
aiict               1  PLAUSIBLE   yield-iterate-iterate-adjust-transfer  ---                      
eeecf               1  PLAUSIBLE   cool-cool-cool-adjust-flag           ---                      
echoked             1  WEAK        cool-adjust-watch-work-heat-cool-mark  ---                      
acth                1  PLAUSIBLE   yield-adjust-transfer-watch          ---                      
yfol                1  WEAK        end-flag-work-frame                  ---                      
fockh               1  WEAK        flag-work-adjust-heat-watch          ---                      
ard                 1  WEAK        yield-input-mark                     ---                      
dysh                1  PLAUSIBLE   mark-end-sequence-watch              ---                      
eoepc               1  WEAK        cool-work-cool-pause-adjust          ---                      
yfo                 1  WEAK        end-flag-work                        ---                      
octhede             1  WEAK        work-adjust-transfer-watch-cool-mark-cool  ---                      
efala               1  WEAK        cool-flag-yield-frame-yield          ---                      
hda                 1  SOLID       watch-mark-yield                     ---                      
eolchct             1  WEAK        cool-work-frame-adjust-watch-adjust-transfer  ---                      
dalch               1  WEAK        mark-yield-frame-adjust-watch        ---                      
sp                  1  PLAUSIBLE   sequence-pause                       ---                      
loee                1  WEAK        frame-work-cool-cool                 ---                      
cphhof              1  WEAK        adjust-pause-watch-watch-work-flag   ---                      
cks                 1  PLAUSIBLE   adjust-heat-sequence                 ---                      
ckhdc               1  PLAUSIBLE   adjust-heat-watch-mark-adjust        ---                      
alche               1  WEAK        yield-frame-adjust-watch-cool        ---                      
ockhc               1  WEAK        work-adjust-heat-watch-adjust        ---                      
dalo                1  WEAK        mark-yield-frame-work                ---                      
kald                1  WEAK        heat-yield-frame-mark                ---                      
dld                 1  WEAK        mark-frame-mark                      ---                      
ofcheef             1  WEAK        work-flag-adjust-watch-cool-cool-flag  ---                      
fdyk                1  PLAUSIBLE   flag-mark-end-heat                   ---                      
eykai               1  LOCKED      cool-end-heat-yield-iterate          ---                      
aiifcho             1  WEAK        yield-iterate-iterate-flag-adjust-watch-work  ---                      
ckhcfh              1  PLAUSIBLE   adjust-heat-watch-adjust-flag-watch  ---                      
iiin                1  LOCKED      iterate-iterate-iterate-halt         ---                      
olc                 1  WEAK        work-frame-adjust                    ---                      
faim                1  PLAUSIBLE   flag-yield-iterate-final             ---                      
ofai                1  WEAK        work-flag-yield-iterate              ---                      
opshe               1  WEAK        work-pause-sequence-watch-cool       ---                      
kake                1  LOCKED      heat-yield-heat-cool                 ---                      
yek                 1  LOCKED      end-cool-heat                        ---                      
